make,model,VClass
Land Rover,Range Rover County Classic,Special Purpose Vehicles
Suzuki,Samurai,Special Purpose Vehicles
BMW,Z3 Roadster,Two Seaters
Plymouth,Turismo,Subcompact Cars
Honda,Del Sol,Two Seaters
Suzuki,X-90 2WD,Two Seaters
Suzuki,X-90 4WD,Two Seaters
Vector,Avtech SC / M12,Two Seaters
BMW,328i Convertible,Minicompact Cars
Jaguar,XJS Convertible,Minicompact Cars
Mitsubishi,Eclipse Convertible,Minicompact Cars
Pontiac,Firebird,Subcompact Cars
BMW,328i/328is,Subcompact Cars
Pontiac,Sunbird Convertible,Subcompact Cars
Pontiac,1000,Subcompact Cars
Honda,Civic HX,Subcompact Cars
Subaru,Hatchback,Subcompact Cars
Rolls-Royce,Azure,Subcompact Cars
Toyota,Corolla Sport,Subcompact Cars
Suzuki,Esteem,Subcompact Cars
Acura,2.5TL/3.2TL,Compact Cars
Audi,A4,Compact Cars
Audi,A4 quattro,Compact Cars
Buick,Riviera Convertible,Compact Cars
Buick,Skyhawk,Compact Cars
Hyundai,Accent (Sporty),Compact Cars
Jaguar,XJR,Compact Cars
Buick,Somerset Regal,Compact Cars
Mercedes-Benz,C36 AMG,Compact Cars
Mercedes-Benz,E300 Diesel,Compact Cars
Mercedes-Benz,E320,Compact Cars
Cadillac,Cimarron,Compact Cars
Volkswagen,Golf/GTI,Compact Cars
Volkswagen,Jetta,Compact Cars
Volkswagen,Jetta GLX,Compact Cars
Acura,3.5RL,Midsize Cars
Chrysler,Sebring Convertible,Midsize Cars
Infiniti,I30,Midsize Cars
Jaguar,Vanden Plas,Midsize Cars
Jaguar,XJ12,Midsize Cars
Oldsmobile,Ciera SL,Midsize Cars
Plymouth,Breeze,Midsize Cars
Nissan,Maxima,Compact Cars
Rolls-Royce,Silver Spur/Silver Dawn,Midsize Cars
Nissan,Stanza,Compact Cars
BMW,740il,Large Cars
BMW,750il,Large Cars
Cadillac,DeVille,Large Cars
Dodge,Omni,Compact Cars
Ford,Crown Victoria CNG,Large Cars
Mercedes-Benz,S500,Large Cars
Mercedes-Benz,S600,Large Cars
Rolls-Royce,Limousine,Large Cars
Rolls-Royce,Silver Spur Limousine,Large Cars
Hyundai,Elantra Wagon,Small Station Wagons
Isuzu,Oasis,Midsize-Large Station Wagons
Oldsmobile,Ciera SL Wagon,Midsize-Large Station Wagons
Isuzu,Hombre Pickup 2WD,Small Pickup Trucks
Ford,Thunderbird,Compact Cars
Ford,F250,Standard Pickup Trucks
Mercedes-Benz,500SEC,Compact Cars
Mercury,Cougar,Compact Cars
Mercury,Lynx,Compact Cars
Chevrolet,Van 1500/2500 2WD,Vans
GMC,Savana 1500/2500 2WD (cargo),Vans
Chevrolet,Express 1500/2500 2WD,Vans
Oldsmobile,Calais,Compact Cars
GMC,Savana 1500/2500 2WD (passenger),Vans
Oldsmobile,Firenza,Compact Cars
Geo,Tracker Van 2WD,Special Purpose Vehicles
Plymouth,Horizon,Compact Cars
Toyota,RAV4 2WD,Special Purpose Vehicles
Acura,SLX,Special Purpose Vehicles
Chevrolet,Blazer AWD,Special Purpose Vehicles
Pontiac,Sunbird,Compact Cars
Lexus,LX 450,Special Purpose Vehicles
Geo,Tracker Convertible 4x4,Special Purpose Vehicles
Geo,Tracker Van 4x4,Special Purpose Vehicles
GMC,Jimmy AWD,Special Purpose Vehicles
Land Rover,Range Rover 4.0,Special Purpose Vehicles
Land Rover,Range Rover 4.6,Special Purpose Vehicles
Subaru,Sedan,Compact Cars
Suzuki,Sidekick Sport 4WD,Special Purpose Vehicles
Toyota,RAV4 4WD,Special Purpose Vehicles
Buick,Funeral Coach/Hearse,Special Purpose Vehicles
Ferrari,Ferrari F355,Two Seaters
Volvo,240 DL/GL/turbo,Compact Cars
Lamborghini,DB132/144 - Diablo,Two Seaters
Lotus,Esprit V8,Two Seaters
Audi,5000S,Midsize Cars
Aston Martin,DB7 Coupe,Minicompact Cars
Aston Martin,DB7 Volante,Minicompact Cars
BMW,328ic,Minicompact Cars
Toyota,Paseo Convertible,Minicompact Cars
Acura,2.2CL/3.0CL,Subcompact Cars
Ferrari,Ferrari 456,Subcompact Cars
Geo,Prizm,Subcompact Cars
Chevrolet,Celebrity,Midsize Cars
Hyundai,Tiburon (Coupe),Subcompact Cars
Chevrolet,Citation II,Midsize Cars
Rolls-Royce,Continental T,Subcompact Cars
Chevrolet,Monte Carlo,Midsize Cars
Toyota,Corolla,Subcompact Cars
Chrysler,LeBaron,Midsize Cars
BMW,528i,Compact Cars
Chrysler,Sebring Convertible,Compact Cars
Chrysler,LeBaron GTS,Midsize Cars
Hyundai,Accent (SOHC),Compact Cars
Mercedes-Benz,C230,Compact Cars
Mitsubishi,Mirage,Compact Cars
Chrysler,Newport/Fifth Avenue,Midsize Cars
Dodge,Aries,Midsize Cars
Volvo,960/S90,Compact Cars
Audi,A8,Midsize Cars
Buick,Regal/Century,Midsize Cars
Cadillac,Catera,Midsize Cars
Chevrolet,Malibu,Midsize Cars
Mercedes-Benz,E300 Diesel,Midsize Cars
Mercedes-Benz,E320,Midsize Cars
Mercedes-Benz,E420,Midsize Cars
Oldsmobile,Cutlass,Midsize Cars
Mitsubishi,Diamante,Midsize Cars
Dodge,Diplomat,Midsize Cars
Rolls-Royce,Brooklands,Midsize Cars
Rolls-Royce,Turbo R,Midsize Cars
Rolls-Royce,Silver Dawn,Midsize Cars
Rolls-Royce,Silver Spur,Midsize Cars
Dodge,Lancer,Midsize Cars
Dodge,600,Midsize Cars
Oldsmobile,Eighty-Eight/Regency,Large Cars
Rolls-Royce,Park Ward,Large Cars
Ford,LTD,Midsize Cars
Volvo,960 Wagon/V90,Small Station Wagons
Mercedes-Benz,500SE,Midsize Cars
Mercedes-Benz,500SEL,Midsize Cars
Mercury,Marquis,Midsize Cars
Plymouth,Caravelle,Midsize Cars
Ford,F250 Pickup 4WD,Standard Pickup Trucks
Plymouth,Gran Fury,Midsize Cars
Plymouth,Reliant,Midsize Cars
Chevrolet,Venture 2WD,Special Purpose Vehicles
Ford,Expedition 2WD,Special Purpose Vehicles
Pontiac,Bonneville,Midsize Cars
Mercury,Mountaineer 2WD,Special Purpose Vehicles
Suzuki,Sidekick Sport 2WD,Special Purpose Vehicles
Pontiac,6000,Midsize Cars
Ford,Expedition 4WD,Special Purpose Vehicles
Mercury,Mountaineer 4WD,Special Purpose Vehicles
Infiniti,QX4 4WD,Special Purpose Vehicles
Buick,Electra/Park Avenue,Large Cars
Aston Martin,DB7 Coupe,Two Seaters
Aston Martin,DB7 Volante,Two Seaters
Cadillac,Fleetwood/DeVille (FWD),Large Cars
BMW,M Roadster,Two Seaters
Dodge,Viper Convertible,Two Seaters
Dodge,Viper Coupe,Two Seaters
Ferrari,Ferrari 550 Maranello,Two Seaters
Ferrari,Ferrari F355/355 F1,Two Seaters
Lamborghini,DB132/144 Diablo,Two Seaters
Lotus,98 Esprit V8,Two Seaters
Porsche,Boxster,Two Seaters
Chevrolet,Impala/Caprice,Large Cars
Suzuki,X-90 RWD,Two Seaters
BMW,323i Convertible,Minicompact Cars
BMW,M3 Convertible,Minicompact Cars
Jaguar,XK8 Convertible,Minicompact Cars
Acura,2.3CL/3.0CL,Subcompact Cars
Oldsmobile,Delta 88 Royale,Large Cars
Bentley,Azure,Subcompact Cars
Bentley,Continental SC,Subcompact Cars
Bentley,Continental T,Subcompact Cars
BMW,323is,Subcompact Cars
Oldsmobile,Ninety-Eight Regency,Large Cars
Chevrolet,Metro,Subcompact Cars
Ferrari,Ferrari 456 GT/GTA,Subcompact Cars
Pontiac,Parisienne,Large Cars
Ford,Escort ZX2,Subcompact Cars
Honda,Civic CNG,Subcompact Cars
Hyundai,Tiburon,Subcompact Cars
Jaguar,XK8,Subcompact Cars
Mercedes-Benz,CLK320,Subcompact Cars
Buick,Skyhawk Wagon,Small Station Wagons
Pontiac,Sunfire,Subcompact Cars
Saab,900SE Convertible,Subcompact Cars
Saab,900S Convertible,Subcompact Cars
Volkswagen,New Beetle,Subcompact Cars
Volvo,C70 Convertible,Subcompact Cars
Bentley,Continental R,Compact Cars
Nissan,Sentra Wagon,Small Station Wagons
Chevrolet,Prizm,Compact Cars
Chrysler,JX/JXI/Limited Convertible,Compact Cars
Daewoo,Lanos,Compact Cars
Daewoo,Nubira,Compact Cars
Dodge,Colt Vista,Small Station Wagons
Jaguar,XJ8,Compact Cars
Mercedes-Benz,C43,Compact Cars
Mercedes-Benz,CL500,Compact Cars
Mercedes-Benz,CL600,Compact Cars
Nissan,Altima,Compact Cars
Volvo,C70,Compact Cars
Volvo,S90,Compact Cars
Audi,A6,Midsize Cars
Honda,Civic Wagon,Small Station Wagons
Audi,A6 quattro,Midsize Cars
Bentley,Brooklands R,Midsize Cars
Bentley,Turbo RT,Midsize Cars
Mercury,Lynx Wagon,Small Station Wagons
Daewoo,Leganza,Midsize Cars
Honda,Accord,Midsize Cars
Oldsmobile,Firenza Cruiser Wagon,Small Station Wagons
Jaguar,XJ8L,Midsize Cars
Lexus,GS 300/GS 400,Midsize Cars
Mercedes-Benz,E300 Turbodiesel,Midsize Cars
Mercedes-Benz,E320 Sedan,Midsize Cars
Oldsmobile,Intrigue,Midsize Cars
Saab,900SE,Midsize Cars
Saab,900S,Midsize Cars
Plymouth,Colt Vista,Small Station Wagons
Volkswagen,Passat Syncro,Midsize Cars
Volvo,S70,Midsize Cars
Bentley,Brooklands R Limo,Large Cars
Pontiac,Sunbird Wagon,Small Station Wagons
Cadillac,Funeral Coach/Hearse,Large Cars
Cadillac,Limousine,Large Cars
Subaru,Wagon,Small Station Wagons
Oldsmobile,Eighty-Eight/Regency/LSS,Large Cars
Toyota,Tercel Wagon 2WD,Small Station Wagons
Rolls-Royce,Silver Spur Park Ward,Large Cars
Audi,A4 Avant,Small Station Wagons
Audi,A4 Avant quattro,Small Station Wagons
Audi,A6 Wagon quattro,Small Station Wagons
Daewoo,Nubira Wagon,Small Station Wagons
Toyota,Tercel Wagon 4WD,Small Station Wagons
Suzuki,Esteem Wagon,Small Station Wagons
Volvo,V90,Small Station Wagons
Ford,Taurus Wagon,Midsize Station Wagons
Honda,Odyssey,Midsize Station Wagons
Isuzu,Oasis,Midsize Station Wagons
Mercury,Sable Wagon,Midsize Station Wagons
Mercedes-Benz,E320 Wagon,Midsize Station Wagons
Subaru,Legacy Wagon,Midsize Station Wagons
Subaru,Legacy Wagon AWD,Midsize Station Wagons
Volkswagen,Passat Wagon,Midsize Station Wagons
Volkswagen,Passat Wagon Syncro,Midsize Station Wagons
Volvo,V70 FWD,Midsize Station Wagons
Volvo,V70 AWD,Midsize Station Wagons
Chevrolet,S10 Pickup 2WD,Small Pickup Trucks 2WD
GMC,Sonoma 2WD,Small Pickup Trucks 2WD
Isuzu,Hombre Pickup 2WD,Small Pickup Trucks 2WD
Toyota,Tacoma 2WD,Small Pickup Trucks 2WD
Chevrolet,Celebrity Wagon,Midsize-Large Station Wagons
Chevrolet,C1500 Pickup 2WD,Standard Pickup Trucks 2WD
Chevrolet,Pickup 2500 2WD,Standard Pickup Trucks 2WD
Dodge,Dakota Pickup 2WD,Standard Pickup Trucks 2WD
Chrysler,Town and Country Wagon,Midsize-Large Station Wagons
Dodge,Ram 1500 Pickup 2WD,Standard Pickup Trucks 2WD
Ford,F150 Pickup 2WD,Standard Pickup Trucks 2WD
Ford,F250 Pickup 2WD,Standard Pickup Trucks 2WD
Ford,F250 Pickup 2WD CNG,Standard Pickup Trucks 2WD
Ford,Ranger Pickup 2WD,Standard Pickup Trucks 2WD
Dodge,Aries Wagon,Midsize-Large Station Wagons
GMC,Sierra 1500 2WD,Standard Pickup Trucks 2WD
GMC,Sierra 2500 2WD,Standard Pickup Trucks 2WD
Mazda,B2500/B3000/B4000 2WD,Standard Pickup Trucks 2WD
Nissan,Frontier 2WD,Standard Pickup Trucks 2WD
Toyota,T100 2WD,Standard Pickup Trucks 2WD
Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks 4WD
Chevrolet,S10 Pickup 4WD,Standard Pickup Trucks 4WD
Dodge,Dakota Pickup 4WD,Standard Pickup Trucks 4WD
Dodge,Ram 1500 Pickup 4WD,Standard Pickup Trucks 4WD
Ford,F150 Pickup 4WD,Standard Pickup Trucks 4WD
Ford,F250 Pickup 4WD,Standard Pickup Trucks 4WD
Ford,Ranger Pickup 4WD,Standard Pickup Trucks 4WD
GMC,Sierra 1500 4WD,Standard Pickup Trucks 4WD
GMC,Sonoma 4WD,Standard Pickup Trucks 4WD
Ford,LTD Wagon,Midsize-Large Station Wagons
Isuzu,Hombre Pickup 4WD,Standard Pickup Trucks 4WD
Mazda,B2500/B3000/B4000 4WD,Standard Pickup Trucks 4WD
Nissan,Frontier 4WD,Standard Pickup Trucks 4WD
Toyota,T100 4WD,Standard Pickup Trucks 4WD
Mercury,Marquis Wagon,Midsize-Large Station Wagons
Toyota,Tacoma 4WD,Standard Pickup Trucks 4WD
Chevrolet,Astro 2WD (cargo),"Vans, Cargo Type"
Chevrolet,Astro AWD (cargo),"Vans, Cargo Type"
Chevrolet,Van 1500/2500 2WD,"Vans, Cargo Type"
Dodge,B1500 Van 2WD,"Vans, Cargo Type"
Oldsmobile,Cutlass Cruiser Wagon,Midsize-Large Station Wagons
Dodge,B2500 Van 2WD,"Vans, Cargo Type"
Ford,E150 Econoline 2WD,"Vans, Cargo Type"
Ford,E250 Econoline 2WD,"Vans, Cargo Type"
Ford,E250 Econoline 2WD CNG,"Vans, Cargo Type"
GMC,Savana 1500/2500 2WD (cargo),"Vans, Cargo Type"
GMC,Safari 2WD (cargo),"Vans, Cargo Type"
GMC,Safari AWD (cargo),"Vans, Cargo Type"
Chevrolet,Astro 2WD (passenger),"Vans, Passenger Type"
Chevrolet,Astro AWD (passenger),"Vans, Passenger Type"
Chevrolet,Express 1500/2500 2WD,"Vans, Passenger Type"
Dodge,B1500 Wagon 2WD,"Vans, Passenger Type"
Dodge,B2500 Wagon 2WD,"Vans, Passenger Type"
Ford,E150 Club Wagon,"Vans, Passenger Type"
GMC,Savana 1500/2500 2WD (passenger),"Vans, Passenger Type"
GMC,Safari 2WD (passenger),"Vans, Passenger Type"
GMC,Safari AWD (passenger),"Vans, Passenger Type"
Chevrolet,Blazer 2WD,Special Purpose Vehicle 2WD
Chevrolet,Suburban 1500 2WD,Special Purpose Vehicle 2WD
Chevrolet,Tahoe 1500 2WD,Special Purpose Vehicle 2WD
Chevrolet,Tracker 2WD Convertible,Special Purpose Vehicle 2WD
Chevrolet,Tracker 2WD Hardtop,Special Purpose Vehicle 2WD
Plymouth,Reliant Wagon,Midsize-Large Station Wagons
Chevrolet,Venture FWD,Special Purpose Vehicle 2WD
Chrysler,Town and Country 2WD,Special Purpose Vehicle 2WD
Dodge,Caravan/Grand Caravan 2WD,Special Purpose Vehicle 2WD
Ford,Expedition 2WD,Special Purpose Vehicle 2WD
Ford,Explorer 2WD,Special Purpose Vehicle 2WD
Ford,Windstar FWD Van,Special Purpose Vehicle 2WD
Ford,Windstar FWD Wagon,Special Purpose Vehicle 2WD
GMC,Suburban 1500 2WD,Special Purpose Vehicle 2WD
GMC,Yukon 1500 2WD,Special Purpose Vehicle 2WD
GMC,Jimmy 2WD,Special Purpose Vehicle 2WD
Honda,CR-V 2WD,Special Purpose Vehicle 2WD
Honda,Passport 2WD,Special Purpose Vehicle 2WD
Isuzu,Amigo 2WD,Special Purpose Vehicle 2WD
Isuzu,Rodeo 2WD,Special Purpose Vehicle 2WD
Jeep,Cherokee 2WD,Special Purpose Vehicle 2WD
Jeep,Grand Cherokee 2WD,Special Purpose Vehicle 2WD
Kia,Sportage 2WD,Special Purpose Vehicle 2WD
Lincoln,Navigator 2WD,Special Purpose Vehicle 2WD
Mazda,MPV,Special Purpose Vehicle 2WD
Mercury,Mountaineer 2WD,Special Purpose Vehicle 2WD
Mercury,Villager FWD Van,Special Purpose Vehicle 2WD
Mercury,Villager FWD Wagon,Special Purpose Vehicle 2WD
Mitsubishi,Montero Sport 2WD,Special Purpose Vehicle 2WD
Mitsubishi,Nativa 2WD,Special Purpose Vehicle 2WD
Nissan,Pathfinder 2WD,Special Purpose Vehicle 2WD
Nissan,Quest,Special Purpose Vehicle 2WD
Oldsmobile,Silhouette 2WD,Special Purpose Vehicle 2WD
Plymouth,Voyager/Grand Voyager 2WD,Special Purpose Vehicle 2WD
Pontiac,6000 Wagon,Midsize-Large Station Wagons
Pontiac,Trans Sport 2WD,Special Purpose Vehicle 2WD
Suzuki,Sidekick 2Door RWD,Special Purpose Vehicle 2WD
Suzuki,Sidekick 4Door RWD,Special Purpose Vehicle 2WD
Suzuki,Sidekick Sport RWD,Special Purpose Vehicle 2WD
Toyota,4Runner 2WD,Special Purpose Vehicle 2WD
Toyota,RAV4 2WD,Special Purpose Vehicle 2WD
Toyota,RAV4 Soft Top 2WD,Special Purpose Vehicle 2WD
Toyota,Sienna 2WD,Special Purpose Vehicle 2WD
Acura,SLX,Special Purpose Vehicle 4WD
Chevrolet,Blazer 4WD,Special Purpose Vehicle 4WD
Chevrolet,Blazer AWD,Special Purpose Vehicle 4WD
Chevrolet,Tahoe 1500 4WD,Special Purpose Vehicle 4WD
Volvo,240 DL/GL/turbo Wagon,Midsize-Large Station Wagons
Chevrolet,Tracker 4WD Convertible,Special Purpose Vehicle 4WD
Chevrolet,Tracker 4WD Hardtop,Special Purpose Vehicle 4WD
Chrysler,Town and Country AWD,Special Purpose Vehicle 4WD
Dodge,Caravan/Grand Caravan AWD,Special Purpose Vehicle 4WD
Dodge,Durango 4WD,Special Purpose Vehicle 4WD
Ford,Expedition 4WD,Special Purpose Vehicle 4WD
Buick,LeSabre/Electra Wagon,Midsize-Large Station Wagons
Ford,Explorer 4WD,Special Purpose Vehicle 4WD
GMC,Jimmy 4WD,Special Purpose Vehicle 4WD
GMC,Jimmy AWD,Special Purpose Vehicle 4WD
GMC,Yukon 1500 4WD,Special Purpose Vehicle 4WD
Honda,CR-V 4WD,Special Purpose Vehicle 4WD
Honda,CR-V 2WD,Special Purpose Vehicle 4WD
Honda,Passport 4WD,Special Purpose Vehicle 4WD
Infiniti,QX4 4WD,Special Purpose Vehicle 4WD
Isuzu,Amigo 4WD,Special Purpose Vehicle 4WD
Isuzu,Rodeo 4WD,Special Purpose Vehicle 4WD
Isuzu,Trooper,Special Purpose Vehicle 4WD
Oldsmobile,Custom Cruiser Wagon,Midsize-Large Station Wagons
Jeep,Cherokee 4WD,Special Purpose Vehicle 4WD
Jeep,Grand Cherokee 4WD,Special Purpose Vehicle 4WD
Jeep,Wrangler 4WD,Special Purpose Vehicle 4WD
Pontiac,Parisienne Wagon,Midsize-Large Station Wagons
Kia,Sportage 4WD,Special Purpose Vehicle 4WD
Land Rover,Discovery,Special Purpose Vehicle 4WD
Land Rover,Range Rover,Special Purpose Vehicle 4WD
Lexus,LX 470,Special Purpose Vehicle 4WD
Lincoln,Navigator 4WD,Special Purpose Vehicle 4WD
Mazda,MPV 4x4,Special Purpose Vehicle 4WD
Mercedes-Benz,ML320,Special Purpose Vehicle 4WD
Mercury,Mountaineer 4WD,Special Purpose Vehicle 4WD
Mitsubishi,Montero,Special Purpose Vehicle 4WD
Mitsubishi,Montero Sport 4WD,Special Purpose Vehicle 4WD
Mitsubishi,Nativa 4WD,Special Purpose Vehicle 4WD
Nissan,Pathfinder 4WD,Special Purpose Vehicle 4WD
Oldsmobile,Bravada AWD,Special Purpose Vehicle 4WD
Subaru,Forester AWD,Special Purpose Vehicle 4WD
Suzuki,Sidekick 2Door 4WD,Special Purpose Vehicle 4WD
Suzuki,Sidekick 4Door 4WD,Special Purpose Vehicle 4WD
Suzuki,Sidekick Sport 4WD,Special Purpose Vehicle 4WD
Toyota,4Runner 4WD,Special Purpose Vehicle 4WD
Toyota,Land Cruiser Wagon 4WD,Special Purpose Vehicle 4WD
Toyota,RAV4 4WD,Special Purpose Vehicle 4WD
Toyota,RAV4 Soft Top 4WD,Special Purpose Vehicle 4WD
BMW,M Coupe,Two Seaters
BMW,Z3 Coupe,Two Seaters
Ferrari,550 Maranello,Two Seaters
Ferrari,F355/355 F1,Two Seaters
Mercedes-Benz,SLK230 Kompressor,Two Seaters
Plymouth,Prowler,Two Seaters
Mercedes-Benz,CLK320 Cabriolet,Minicompact Cars
Porsche,911 Carrera,Minicompact Cars
Ford,Ranger Pickup 2WD,Small Pickup Trucks
BMW,328is,Subcompact Cars
Ferrari,456 MGT/MGA,Subcompact Cars
Hyundai,Accent,Subcompact Cars
GMC,S15 Pickup 2WD,Small Pickup Trucks
Lexus,SC,Subcompact Cars
Mercedes-Benz,CLK430,Subcompact Cars
Isuzu,750C/I-Mark,Subcompact Cars
Pontiac,Firebird/Trans Am,Subcompact Cars
Saab,9-3 Convertible,Subcompact Cars
Suzuki,SW,Subcompact Cars
BMW,323i,Compact Cars
BMW,328i,Compact Cars
Toyota,Truck 2WD,Small Pickup Trucks
Mercedes-Benz,C230 Kompressor,Compact Cars
Mercedes-Benz,C43 AMG,Compact Cars
Dodge,Power Ram 50 Pickup 4WD,Small Pickup Trucks
Oldsmobile,Alero,Compact Cars
Ford,Ranger Pickup 4WD,Small Pickup Trucks
Toyota,Camry Solara,Compact Cars
Volkswagen,Golf,Compact Cars
Volkswagen,GTI,Compact Cars
Volkswagen,New Golf,Compact Cars
Volkswagen,New GTI,Compact Cars
Isuzu,Pickup 4WD,Small Pickup Trucks
Volkswagen,New Jetta,Compact Cars
Acura,3.2TL,Midsize Cars
Jeep,Scrambler,Small Pickup Trucks
Audi,A8 quattro,Midsize Cars
Bentley,Arnage,Midsize Cars
Jaguar,XJS,Subcompact Cars
Jaguar,Vanden Plas S.C.,Midsize Cars
Chevrolet,C10 Pickup 2WD,Standard Pickup Trucks
Mercedes-Benz,E320 Sedan 4Matic,Midsize Cars
Mercedes-Benz,E430,Midsize Cars
Mitsubishi,Galant,Midsize Cars
Rolls-Royce,Silver Seraph,Midsize Cars
Saab,42981,Midsize Cars
Saab,42983,Midsize Cars
Volvo,S70 AWD,Midsize Cars
Chevrolet,C20 Pickup 2WD,Standard Pickup Trucks
Volvo,S80,Midsize Cars
Chrysler,300 M,Large Cars
Chrysler,LHS,Large Cars
Chevrolet,El Camino Pickup 2WD,Standard Pickup Trucks
Jaguar,XJ,Subcompact Cars
BMW,528i Touring,Small Station Wagons
BMW,540i Touring,Small Station Wagons
Daewoo,Nubira Station Wagon,Small Station Wagons
Audi,A6 Avant quattro,Midsize Station Wagons
Lexus,RX 300,Midsize Station Wagons
Lexus,RX 300 4WD,Midsize Station Wagons
Mercedes-Benz,E320 Wagon 4Matic,Midsize Station Wagons
Chevrolet,Silverado 1500 2WD,Standard Pickup Trucks 2WD
Chevrolet,Silverado 2500 2WD,Standard Pickup Trucks 2WD
Ford,Ranger2WD FFV,Standard Pickup Trucks 2WD
Ford,Ranger 2WD FFV,Standard Pickup Trucks 2WD
Mazda,B2500,Standard Pickup Trucks 2WD
Mazda,B3000 FFV 2WD,Standard Pickup Trucks 2WD
Mazda,B4000,Standard Pickup Trucks 2WD
Toyota,Tacoma 2WD,Standard Pickup Trucks 2WD
Chevrolet,Silverado 1500 4WD,Standard Pickup Trucks 4WD
GMC,Caballero Pickup 2WD,Standard Pickup Trucks
Ford,Ranger 4WD FFV,Standard Pickup Trucks 4WD
Mazda,B3000 FFV 4WD,Standard Pickup Trucks 4WD
Mazda,B4000,Standard Pickup Trucks 4WD
Nissan,Frontier V6 4WD,Standard Pickup Trucks 4WD
GMC,C15 Pickup 2WD,Standard Pickup Trucks
Volkswagen,Eurovan Camper,Minivan - 2WD
Subaru,Forester AWD,Sport Utility Vehicle - 4WD
Chevrolet,Venture FWD,Minivan - 2WD
Chrysler,Town and Country 2WD,Minivan - 2WD
Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD
GMC,C25 Pickup 2WD,Standard Pickup Trucks
Ford,Windstar FWD Van,Minivan - 2WD
Ford,Windstar FWD Wagon,Minivan - 2WD
Honda,Odyssey,Minivan - 2WD
Mercury,Villager FWD Wagon,Minivan - 2WD
Nissan,Quest,Minivan - 2WD
Oldsmobile,Silhouette 2WD,Minivan - 2WD
Plymouth,Voyager/Grand Voyager 2WD,Minivan - 2WD
Pontiac,Trans Sport/Montana 2WD,Minivan - 2WD
Toyota,Sienna 2WD,Minivan - 2WD
Volkswagen,Eurovan,Minivan - 2WD
Chrysler,Town and Country AWD,Minivan - 4WD
Chevrolet,K10 Pickup 4WD,Standard Pickup Trucks
Dodge,Caravan/Grand Caravan AWD,Minivan - 4WD
Chevrolet,Blazer 2WD,Sport Utility Vehicle - 2WD
Chevrolet,Suburban 1500 2WD,Sport Utility Vehicle - 2WD
Chevrolet,Tahoe 1500 2WD,Sport Utility Vehicle - 2WD
Chevrolet,Tracker 2WD Convertible,Sport Utility Vehicle - 2WD
Chevrolet,Tracker 2WD Hardtop,Sport Utility Vehicle - 2WD
Dodge,Durango 2WD,Sport Utility Vehicle - 2WD
Ford,Expedition 2WD,Sport Utility Vehicle - 2WD
Ford,Explorer 2WD,Sport Utility Vehicle - 2WD
GMC,Suburban 1500 2WD,Sport Utility Vehicle - 2WD
GMC,Yukon 1500 2WD,Sport Utility Vehicle - 2WD
GMC,Jimmy 2WD,Sport Utility Vehicle - 2WD
Honda,Passport 2WD,Sport Utility Vehicle - 2WD
Isuzu,Amigo 2WD,Sport Utility Vehicle - 2WD
Isuzu,Rodeo 2WD,Sport Utility Vehicle - 2WD
Chevrolet,T10 (S10) Pickup 4WD,Standard Pickup Trucks
Jeep,Cherokee 2WD,Sport Utility Vehicle - 2WD
Jeep,Grand Cherokee 2WD,Sport Utility Vehicle - 2WD
Kia,Sportage 2WD,Sport Utility Vehicle - 2WD
Lincoln,Navigator 2WD,Sport Utility Vehicle - 2WD
Mercury,Mountaineer 2WD,Sport Utility Vehicle - 2WD
Mitsubishi,Montero Sport 2WD,Sport Utility Vehicle - 2WD
Mitsubishi,Nativa 2WD,Sport Utility Vehicle - 2WD
Nissan,Pathfinder 2WD,Sport Utility Vehicle - 2WD
Suzuki,Grand Vitara 4Door 2WD,Sport Utility Vehicle - 2WD
Suzuki,Vitara 2Door 2WD,Sport Utility Vehicle - 2WD
Suzuki,Vitara 4Door 2WD,Sport Utility Vehicle - 2WD
Toyota,4Runner 2WD,Sport Utility Vehicle - 2WD
Toyota,RAV4 2WD,Sport Utility Vehicle - 2WD
Toyota,RAV4 Soft Top 2WD,Sport Utility Vehicle - 2WD
Acura,SLX,Sport Utility Vehicle - 4WD
Cadillac,Escalade 4WD,Sport Utility Vehicle - 4WD
Chevrolet,Blazer 4WD,Sport Utility Vehicle - 4WD
Chevrolet,Tahoe 1500 4WD,Sport Utility Vehicle - 4WD
Chevrolet,Tracker 4WD Convertible,Sport Utility Vehicle - 4WD
Chevrolet,Tracker 4WD Hardtop,Sport Utility Vehicle - 4WD
Dodge,Durango 4WD,Sport Utility Vehicle - 4WD
Ford,Expedition 4WD,Sport Utility Vehicle - 4WD
Ford,Explorer 4WD,Sport Utility Vehicle - 4WD
GMC,Jimmy 4WD,Sport Utility Vehicle - 4WD
GMC,Yukon 1500 4WD,Sport Utility Vehicle - 4WD
Honda,Passport 4WD,Sport Utility Vehicle - 4WD
Infiniti,QX4 4WD,Sport Utility Vehicle - 4WD
Isuzu,Amigo 4WD,Sport Utility Vehicle - 4WD
Isuzu,Rodeo 4WD,Sport Utility Vehicle - 4WD
Isuzu,Trooper,Sport Utility Vehicle - 4WD
Jeep,Cherokee 4WD,Sport Utility Vehicle - 4WD
Jeep,Grand Cherokee 4WD,Sport Utility Vehicle - 4WD
Jeep,Wrangler 4WD,Sport Utility Vehicle - 4WD
Kia,Sportage 4WD,Sport Utility Vehicle - 4WD
